abbr	len	ambiguous	raw	marked	unmarked	ctx1	ctx2	ctx3
identif.	8		11	0	11	">13,1732.</ls> {#urvaSI#} mit der <is>Gaṅgā</is> identif. <ls n="MBH.">12,961.</ls> <LEND>  <L>12520<pc>1-1	ls> auf die <is>Durgā</is> übertragen und mit ihr identif. <ls>DEV. 8,34.</ls> {#EndrI#} daher als Bein. der	 <ls n="HARIV.">1768.</ls> Mit <is>Kātyāyana</is> identif.: {#gfhye kateH . dfzwvA karkamuKEH kftAni bahuSo 
liturg.	7		11	0	11	ie eben) <lex>adj.</lex> {%ohne Kennzeichen%}, im liturg. Sinne (s. {#liNga#}) <ls>NIR. 12,40.</ls> neben {	 Festfeier, Tagewerk, Tagesabschnitt%}; häufig in liturg. Büchern <ls>AIT. BR. 4,1. fgg.</ls> <ls>ĀŚV. ŚR. 	o v. a. {#Ata#} m.: {#udAtABirjihatAm#} aus einer liturg. Formel <ls>DURGA</ls> zu <ls>NIR. 4,18.</ls> Bild
namentl.	8		11	0	11	ex> {%eine unerlaubte Consonantenverbindung%} und namentl. {%die Verbindung eines vorang. 4ten%} ({#Ga, Ja, 	prengung, Weihung durch Besprengung mit Wasser%} (namentl. zum Königthum) <ls>ŚAT. BR. 5,3,5,6</ls>-<ls n="Ś	ls n="R.">3,44,11.</ls> in der Medic. {%Anfall%}, namentl. von übernatürlichen Krankheitsursachen; {%Besesse
patronn.	8		11	0	11	mi#} ( <ls>VOP. 7,1.</ls> <ls n="VOP. 7,">2</ls>) patronn. von {#agniSarman#} <is>gaṇa</is> {#naqAdi#} zu <l	v. l.) und {#Anusfzwineya/#} ( <ls>VOP. 7,7</ls>) patronn. von {#anusfti#} und {#anusfzwi#} <is>gaṇa</is> {#	<is>gaṇa</is> {#tikAdi#} zu <ls>P. 4,1,154</ls> ) patronn. von {#amitra#} . <LEND>  <L>8946<pc>1-0671<k1>Ami
person.	7		11	0	11	s> <ls n="KĀTY. ŚR. 12,">6,28.</ls> — der {%Tag%} person. ist einer der 8 <is>Vasu</is> <ls>MBH. 1,2582.</l	ex>m.</lex> {%der Stern%} β {%im kleinen Bären%}, person. der Sohn <is>Vīra's</is> (oder <is>Manu</is> <is>	tliche Stimme, auf deren Ausspruch man lauscht%}; person. {%eine Göttin der Nacht, welche Verborgenes enthü
ält.	4		11	0	11	 zur Species oder eine Species zum Individuum verhält. In einem solchen Falle pflegt das <lex>adj.</lex>	hrend <ls>AV.</ls> die gewöhnliche Betonung beibehält. {#mA vA^ rA\tirupa^ dasa\tkadA^ ca\na#} <ls>ṚV. 1	>MAHĪDH.</ls> die Form {#kIkasA#} für neutr. pl. hält. Dort sind drei {#kI˚#} aufgeführt. Nach <ls>AK. 2
Bildl.	6		10	0	10	H . duHKaM kartumaparyAptaH#} <ls>R. 3,51,7.</ls> Bildl.: {#jvAlANgulIBirBagavAnvizwaBya sa hutASanaH#} [P	 u.s.w. <ls>PRAŚNOP. 2,11.</ls> <ls>M. 5,30.</ls> Bildl.: {#arakzitAramattAraM#} (<ls>KULL.</ls> = {#karab	 einer ähnlichen Stelle) <ls>SUŚR. 2,142,21.</ls> Bildl. {%Zugang, Hülfsmittel, Hülfsbuch%}: {#ekAviMSatya
Caus.	5		10	0	10	AMhizata saMgrAmam#} <ls n="BHAṬṬ.">15,74.</ls> — Caus. {#aMha/yati#} {%schicken%}: {#tamAYjihanmETilayaj	 3) {%anhäufen%} ({#saMGAte#}) <ls>DHĀTUP.</ls> — Caus. {#akzayati, Acikzat#} . — Desid. {#acikzizati#} u	#} und <div n="1"> 6) {#gatO#} <ls>DHĀTUP.</ls> — Caus. {#aYjayati, AYjijat#} <div n="1"> 1) {%bestreiche
adj. comp.	10		10	0	10	 unter {#nAka#} 1. <div n="1">— 2) <lex>m.</lex> (adj. comp.) parox. <ls>P. 6,2,114</ls>, <ls>Sch.</ls> <LEND>	252,10.</ls> <div n="1">— 2) <lex>f.</lex> {#A#} (adj. comp.) N. pr. einer <is>Apsaras</is> <ls>R. 2,91,17.</l	,91,17.</ls> <div n="1">— 3) <lex>f.</lex> {#I#} (adj. comp.) <div n="2"> a) N. einer Pflanze, {%Tiaridium ind
ausg.	5		10	0	10	} <ls>VS. 30,11.</ls> — Accent eines auf {#arma#} ausg. comp. <ls>P. 6,2,90.</ls> {#guptArmam, kukkuwArma	-0737] <ls>TRIK. 3,5,11.</ls> Accent eines darauf ausg. comp. <ls>P. 6,2,151.</ls> <div n="1"> 1) <lex>n.	e <is>Prātiśākhya</is> anschliesst. Vor Kurzem herausg. von <ls>PERTSCH.</ls> <LEND>  <L>12045<pc>1-0971<
d. l. W.	8		10	0	10	unctatum%} <ls>CAREY</ls> bei <ls>HAUGHT.</ls> u. d. l. W. {%Macrognathus Pankalus%} <ls>WILS.</ls> — {#gavA	#rAjAvarta#} <ls>RĀJAN.</ls> im <ls>ŚKDR.</ls> u. d. l. W. <LEND>  <L>84262<pc>6-0327<k1>rAjAdana<k2>rAjAdan	{#rAjagiri#} <ls>RĀJAN.</ls> im <ls>ŚKDR.</ls> u. d. l. W. <LEND>  <L>84264<pc>6-0327<k1>rAjADikArin<k2>rAjA
resp.	5		10	0	10	) <lex>n.</lex> N. eines Werkes, eines Nachtrags, resp. Nachbildung des <is>Rāmāyaṇa</is>, <ls>Verz. d. B	 <is>Yuga</is> mit der Morgen- und Abenddämmerung resp. 4800, 3600, 2400 und 1200 menschliche Jahre umfas	THĀS. 12,124.</ls> <ls n="KATHĀS.">26,243.</ls> {%resp. dieser oder jener%}: {#tilatElena saMsnApya vizRu
Desid.	6		9	0	9	="BHAṬṬ.">2,40.</ls> <ls n="BHAṬṬ.">15,75.</ls> — Desid. {#aYjihizate#} {%gehen wollen%}: {#prAcyamAYjihiz	ls>DHĀTUP.</ls> — Caus. {#akzayati, Acikzat#} . — Desid. {#acikzizati#} und {#acikzati#} . <div n="v">— Vg	AmAYcitamevANkitaM Bavati#} <ls>NIR. 5,17.</ls> — Desid. {#aYcikizate#} <ls>WEST.</ls> <div n="v">— Vgl. {
Einschieb.	10		9	0	9	9. n.</ls> <ls>VS. 17,2.</ls> <ls>NIR. 3,10</ls> (Einschieb.). <ls>ARJ. 5,21.</ls> <ls>R. 5,29,3.</ls> <ls n="	> (= {#aGa#}). <ls>H. 1370.</ls> {#duHKaM laBet#} Einschieb. nach <ls>ṚV. 10,85.</ls> {#duHKamupayanti#} <ls>Ś	smayamAdaDAti#} <ls>MĀLAV. 92.</ls> <ls>ŚĀK.</ls> Einschieb. nach <ls n="ŚĀK.">19.</ls> <ls>ŚRUT. (BR.) 5.</ls
Handschr.	9		9	0	9	ls> {#nirdayA˚#} <ls>MEGH. 105.</ls> {#niviqA˚#} (Handschr.: {#viviqA˚#}) <ls>VET. 11,5.</ls> {#raBasA˚#} <ls	kaloqya#}¦ <lex>n.</lex> = {#aNkaloqya#} in einer Handschr. des <ls>RĀJAV.</ls> <ls>ŚKDR.</ls> <LEND>  <L>142	</is> {#dfQAdi#} zu <ls>P. 5,1,123.</ls> In einer Handschr. fehlt das Wort; ein Schreibfehler für {#kfzRa#} d
Loc.	4		9	0	9	6<k1>aMseBAra<k2>aMseBAra {#aMseBAra#}¦ ({#aMse#} Loc. von {#aMsa + BAra#}) <lex>m.</lex> {%Schulterjoch	 <L>96<pc>1-0009<k1>akARqe<k2>akARqe {#akARqe#}¦ (Loc. von {#akARqa#}) adv. {%ohne Veranlassung, ohne Gr	akzRA/#}, Dat. {#akzRe/#}, Abl. Gen. {#akzRa/s#}, Loc. {#akza/Ri#} oder {#akzRi/#}; Du. Gen. Loc. {#akzR
comparat.	9		9	0	9	2,191.</ls> Pleonastisch vor einem superlat. oder comparat., so wie vor {#su, pra#} und {#pari#}, wenn diese 	25,38.</ls> {#anizwadarSanam#} <ls>HIT. 9,7.</ls> comparat.: {#jawAyuzaM ko vadati prARErizwataraM mama#} <ls	s> <ls>MṚCCH. 7,11.</ls> <ls>PAÑCAT. 129,18</ls> (comparat.). {#timira#} <ls n="PAÑCAT.">I,189.</ls> <ls>ŚIŚ.
correl.	7		9	0	9	> <ls n="ŚĀK.">122,10.</ls> <ls>PRAB. 31,18.</ls> correl. zu {#ya/tra#} <ls>ṚV. 5,44,9.</ls> {%dorthin%}: {	ss, nur so gross; so viel, nur so viel; tantus%} (correl. {#kiyant#}) <ls>P. 5,2,40.</ls> <ls n="P.">6,3,90	<ls>AV. 1,15,3</ls>). <div n="1"> 1) {%der%} (als correl. von {#ya#} {%wer, welcher%}, das in der Regel dem
grammat.	8		9	0	9	apsumant<k2>apsumant<h>1 1. {#apsumant#}¦ (eine ungrammat. Bildung von {#apsu#}) <lex>adj.</lex> <ls>P. 6,3,	#} mit {#ava#}) <lex>adj.</lex> {%trennbar%}, von grammat. Zusammensetzungen <ls>ṚV. PRĀT. 5,20.</ls> <ls>P.	emerkenswerth ist das mit dem Folgenden in keiner grammat. Verbindung stehende {#asti#}, mit dem eine Erzähl
indef.	6		9	0	9	es interrog. mit {#cit#} oder {#cana#} gebildeten indef. anzutreffen: {#kaTaMcidapyatikrAman#} {%selbst da	terrog. geht durch den Antritt von {#api#} in ein indef. über; s. u. {#kim, kadA, kutra, kva, kaTam#} . <d	erate#} <ls>BHĀG. P. 3,7,37.</ls> <div n="1">— 2) indef. {%irgendwer, Jemand, irgendwelcher%}; meist in ne
paroxyt.	8		9	0	9	 den Hunden <is>Yama's</is> <ls>ṚV. 10,14,2.</ls> paroxyt.: {#u\pEza^ntamudu\mbala^M tu\Rqela^mu\ta SAlu^dam	 der zweiten <lex>adj.</lex> Bed. oxyt., sonst proparoxyt. <div n="1"> 1) <lex>adj.</lex> <lex>f.</lex> {#A#	nd <is>Gandharva</is> <ls>ŚAT. BR. 14,6,7,1</ls> (paroxyt.). <ls>COLEBR. Misc. Ess. I,18.</ls> <ls>VP. 282.<
pronomm.	8		9	0	9	dung mit {#aha#} nur die orthotonirten Formen der pronomm. gebraucht: {#grAmo yuvayoraha#} ({%entweder?%}) {	3,36.</ls> In diesen Beispielen stehen die beiden pronomm. in einem coordinirten Verhältniss zu einander; ni	>). — Am Anfange der Sätze häufig als Stütze nach pronomm., praepp. und Partikeln; z. B. nach {#tvam#} <ls>Ṛ
Autorr.	7		8	0	8	. einer best. Pflanze <ls>RATNAM.</ls> und andere Autorr. <ls>ŚKDR.</ls> <LEND>  <L>12541<pc>1-1005<k1>ulUk	ILS.</ls> <ls>ŚKDR.</ls> angeblich nach denselben Autorr.: = {#maTita#} {%gequirlt.%} <LEND>  <L>19316<pc>2	</ls> <ls>MED. v. 6.</ls> Nach den beiden letzten Autorr. auch {%Nackensehne%}; <ls>ŚAT. BR. 12,2,4,10</ls>
Beisp.	6		8	1	7	s>ŚKDR.</ls> — Diese letztere Bedeutung (vgl. die Beisp. u. 1.) beruht wohl hier wie bei {#apasavyam#} auf	nA^BiH#} {%brachtet heraus%} (vgl. oben das erste Beisp.) <ls n="ṚV.">1,118,6.</ls> — pass.: {#udIryamARam	IVATANTRA folg. 64</ls> <is>Kalā</is> (vgl. o. d. Beisp. aus <ls>MBH. 13,1334</ls>) auf: {#gItam, vAdyam, 
Compp.	6		8	0	8	.</lex> <lex>n.</lex> <ls>SIDDH. K. 249,a,4.</ls> Compp., welche auf {#kawa#} ausgehen, haben den Ton auf 	innt%} 49. <div n="2">— e) am Ende adjectivischer Compp. erblasst bei {#pUrva#} häufig die Bedeutung {%des	<ls>ṚV. 8,13,27.</ls> Vgl. die ähnlich gebildeten Compp. {#kfta/dvasu, Sata/dvasu#} . <LEND>  <L>48080<pc>
Gen.	4		8	0	8	zu einem Adverb erstarrte Ablativ {#A/t#} und der Gen. Du. {#ayo/s#} . Ueber die Bedeutung und die Beton	ti<k2>aMhasaspati/ {#aMhasaspati/#}¦ ({#aMhasas#} Gen. von {#aMhas + pati#}) <lex>m.</lex> {%Gebieter üb	ri\ tamA^Msya\ktUn#} <ls n="ṚV.">10,1,2.</ls> Der Gen. {#aktos#} und der Instr. pl. {#aktuBis#} {%bei Na
Mathemm.	8		8	0	8	gen%} <ls>KAUŚ. 140.</ls> <div n="2">— f) bei den Mathemm.: {%the finding of the quantity sought, answer to 	3,311.</ls> <div n="1">— 2) <lex>m.</lex> bei den Mathemm. {%Aufgabe%} <ls>COLEBR. Alg. 187.</ls> <LEND>  <L	nreibend.%} <div n="1">— 2) <lex>m.</lex> bei den Mathemm. {%the quantity assumed for the purpose of the ope
Nn. prr.	8		8	0	8	Bfjja#}¦ und {#udamajja (uda + Bf˚#} und {#ma˚#}) Nn. prr. zweier Männer; s. {#OdaBfjji#} und {#Odamajji#} .	UTP. 91</ls>) und {#upacArumant (upa + cA˚)#} mm. Nn. prr. zweier <is>Cakravartin</is> <ls>SCHIEFNER, Lebens	krozwu + mAna#}) und {#krozwumAya (kro˚ + mAyA)#} Nn. prr. zweier Männer; pl. {%ihre Nachkommen%} <is>gaṇa</
Pl.	3	Y	8	0	8	/Ri#} oder {#akzRi/#}; Du. Gen. Loc. {#akzRo/s#}; Pl. Gen. {#akzRA/m#} <ls>P. 7,1,75.</ls> <ls>VOP. 3,9	s n="BṚH. ĀR. UP.">4,2,3</ls> : {#vAme 'kziRi)#}; Pl. Acc. {#akzA/Ri#} (nur <ls>ṚV. 7,57,6</ls>; in der	. Acc. {#a/kziRI#}, Instr. D. Abl. {#a/kziByAm#}; Pl. N. V. Acc. {#a/kzIRi#}, Instr. {#a/kziBis#}, D. A
Zusammeng.	10		8	0	8	(vielleicht ein Compositum) <ls>R. 1,22,3.</ls> — Zusammeng. aus {#akza#} (vgl. {#akzavAwa#}) und {#UhinI#} <i	lasya balamADAya#} <ls>Sch.</ls> zu <ls>P.</ls> — Zusammeng. aus 1. {#anu + Aje#} (?); vgl. {#upAje#} . <LEND>	 (voc.) <ls>DAŚ. 2,71.</ls> <ls>R. 2,74,7.</ls> — Zusammeng. aus 3. {#a + mitra#} also eig. {%Nichtfreund%}; n
dem.	4		8	0	8	ls n="TS.">7,2,7,5.</ls> Ueber das Vorangehen des dem. Satzes vgl. auch u. {#etad#} . <div n="1">— 3) su	AṬṬ. 1,8</ls> {#aDikoza#} und {#koza#} noch ausserdem. <div n="1">— 3) {%Bergabhang%}: {#parvatAScAsfkat	mit einem Ton, Gebrüll, Geschrei antworten%}; mit dem. acc.: {#gamBIraM pratinadyeva ninAdaM nadato giri
nam.	4		8	0	8	ex>f.</lex> <div n="1"> 1) {%Labetrank, Labung%} (nam. von Milch); {%Erfrischung, Belebung; Erquickung, 	}¦ (wie eben) <lex>n.</lex> {%Bitte, Forderung%} (nam. die eines höhern Wesens) <ls>TRIK. 3,2,13.</ls> <	Mächten (von welchen die Menschen besessen sind), nam. vom {%strafenden Ergreifen%} <is>Varuṇa's</is>: {
neg.	4		8	0	8	RIK.</ls> und <ls>MED.</ls> veranlasst haben, dem neg. {#a#} die Bedeutung von {#nizeDa#} und {#pratizeD	>Vārtt</is>. zu <ls>P. 6,3,73.</ls> — Man hat die neg. Partikel {#a#} mit dem im vorigen Artikel besproc	nklang an eine falsche Etymologie vermittelst des neg. {#a#}): {#yasmAtparaM nAparamasti kiMcit#} <ls>ŚV
omin.	5		8	0	8	gAH#} <ls>ṚV. 10,68,4.</ls> {#aSmAnaH plavanti#} (omin.) <ls>ADBH. BR.</ls> in <ls>Ind. St. 1,41,22. -</l	R. 22,2,25.</ls> {#yadA — aSvatarIgarBo jAyate#} (omin.) <ls>ADBH. BR.</ls> in <ls>Ind. St. 1,40,17.</ls>	 in dieser Verbindung für eine Ableitung eines denomin. von {#patnI#} anzusehen und demzufolge die Formen
verschied.	10		8	0	8	</ls> <div n="1">— 2) <lex>f.</lex> {#kadalA#} N. verschied. Pflanzen: {%Pistia Stratiotes Lin.%} ({#pfSnI#});	<ls>P. 4,3,166.</ls> <div n="2">— b) N. einer der verschied. Arten von <is>Soma</is>, welche <ls>SUŚR. 2,164,1	> <div n="1">— 2) <lex>m.</lex> <div n="2"> a) N. verschied. Vögel: <div n="3"> α) {%Anas Casaca%} ({#cakravAk
Bedeut.	7		7	0	7	arzaRa, apakfzwa#} und {#utkfzwa, apAYc#} (in der Bedeut. {%südlich%}) und {#udaYc#} . Auch in {#apatya#} i	pätern Sprache {#apa#} und {#ava#}, die in beiden Bedeut. häufig mit einander verwechselt werden. Das slav.	.</ls> In vielen von diesen Beispielen spielt die Bedeut. schon nach {%b.%} hinüber. <div n="2">— b) {%in V
Rhet.	5		7	0	7	ls> (im <is>Prākrit</is>). <div n="1">— 2) in der Rhet. {%eine Reihe von Sätzen, in denen ein regelmässig	Ind. St. 1,18,5</ls> v. u. <div n="1">— 3) in der Rhet. {%Mittheilung eines Erlebnisses%}: {#nirRayaH pun	 Vorrang fällt%} so v. a. {%gestört ist%}, in der Rhet. Bez. {%einer unlogischen Aufeinanderfolge%}: {#pa
copulat.	8		7	0	7	1383.</ls> <ls>VS. 18,58.</ls> {#ci\ttA\kU\tam#} (copulat.) <ls>AV. 11,9,1.</ls> {#AkUtAdvA etadagre karma s	1,4,6.</ls> Statt {#kurujANgalam#} (angeblich ein copulat. comp.) ist beim <ls>Sch.</ls> zu <ls>P. 2,4,7</ls	apUtIka#} und {#darBaSara#} <lex>n.</lex> sg. als copulat. compp. <is>gaṇa</is> {#gavASvAdi#} zu <ls>P. 2,4,
intr.	5		7	0	7	zwAm#} <ls>PAÑCAV. BR. 21,1.</ls> <div n="1">— 2) intr. {%unterdrückt —, geschunden werden%}: {#na ha^nya	,464.</ls> — pass. <div n="1"> 1) {%verbrennen%} (intr.): {#pakzAByAM ca mayA gupto jawAyurna vyadahyata#	T. 1,17.</ls> <div n="1">— 4) {%ausweichen%}, mit intr. der Sache (vgl. simpl. 2): {#u\da\grA\Basya^ na\m
mathem.	7		7	0	7	%} <ls>ŚKDR.</ls> <div n="1">— 2) {%Proportion%} (mathem.) <ls>COLEBR. Alg. 35, N. 1.</ls>  <div n="1">— 3)	%} <ls>R. 2,22,17.</ls> <div n="2">— l) {%Rest%} (mathem.) <ls>COLEBR. Alg. 5. 171.</ls> <div n="2">— m) {%	</ls> <div n="1">— 2) <lex>n.</lex> (?) {%Rest%} (mathem.), = {#vyavakalitANkaH . iti lIlAvatI#} <ls>ŚKDR.<
refl.	5		7	0	7	Selbst, die eigene Person%}; häufig für das pron. refl.: {#balaM daDA^na A\tmani^#} <ls>ṚV. 9,113,1.</ls>	g, eigen%}, vertritt die Stelle eines pron. poss. refl. aller Personen, <ls>AK. 3,4,189.</ls> <ls>H. 562.	e^#} <ls>TS. 2,5,11,4.</ls> <div n="1">— 3) pass. refl. {%sein Ziel, sein Ende erreichen, voll werden%}: 
reg.	4		7	0	7	}, β und u. {%k.%} <div n="3">— γ) bildet mit dem reg. Worte ein adv. comp.: {#anuraTam = raTasya paScAt	aH#} <ls>AV. 10,2,18.</ls> Verbindet sich mit dem reg. Worte zu einem comp., s. {#aBivAsas#} . Vgl. {#as	rlegung%}: {#asa\tsu me^ jarita\H sABi^ve\go#} (unreg. Krasis) {#yatsu^nva\te yaja^mAnAya\ Sikza^m#} <ls
sing.	5		7	0	7	te janena#} <ls>MṚCCH. 33,4.</ls> pass. mit einem sing.: {#samupAsyata — SriyA#} <ls>RAGH. 8,14.</ls> <di	ata rAkzasAn#} <ls>BHAṬṬ. 8,43.</ls> — intens. 2. sing. imperf. {#ajarGAH#} <ls>P. 6,3,111</ls>, <ls>Sch.	v n="2"> a) {%tearing.%} <div n="2">— b) {%distressing.%} <div n="1">— 2) <lex>m.</lex> {%a kind of drug%
Abl.	4		6	0	6	l); sonst erscheint im <ls>ṚV.</ls> immer nur der Abl. sg. {#aMhos#} in der subst. Bedeutung {%Enge, Dra	kasmAt<k2>akasmAt {#akasmAt#}¦ (3. {#a + kasmAt#} Abl. von {#kim#}) <is>gaṇa</is> {#cArvAdi#} adv. <div 	erhalten: Sg. Instr. {#akzRA/#}, Dat. {#akzRe/#}, Abl. Gen. {#akzRa/s#}, Loc. {#akza/Ri#} oder {#akzRi/#
Dramat.	7		6	0	6	ls> zu <ls>KAP. 1,58.</ls> <div n="1">— 4) in der Dramat. {%Vereitelung%} (einer Hoffnung) <ls>DAŚAR. 1,29.	rn%} <ls>AV. 12,4,15.</ls> <div n="2">— d) in der Dramat. {%das Vereiteln%} (einer Hoffnung) <ls>DAŚAR. 1,3	on 2. {#as#} mit {#parini#}) <lex>m.</lex> in der Dramat. {%die Anspielung auf die Entwickelung des sogenan
Erklär.	7		6	0	6	%dies hat der Autor sagen wollen%}, am Ende einer Erklär. bei Scholiasten. {%Sinn, Inhalt%}: {#evamuccAvacE	 St. 2,275. 287, N. 2.</ls> {#arizwaduzwaDI#} zur Erklär. von {#vivaSa#} <ls>AK. 3,1,44.</ls> <ls>H. 438.</	</ls> ist die Glosse {#SIpAlamiti = SEvAlam#} zur Erklär. des später ungebräuchlichen Namens eingeschaltet)
Gegend.	7		6	0	6	ls>AIT. BR. 8,23</ls> nach <ls>SĀY.</ls> N. einer Gegend. <LEND>  <L>6307<pc>1-0471<k1>avacana<k2>avacana<h	2>kAmpila {#kAmpila#}¦ <lex>m.</lex> N. pr. einer Gegend. (s. {#kAmpilya#}) <ls>ŚABDAR.</ls> im <ls>ŚKDR.</	<ls>ŚKDR.</ls> ist das <lex>m.</lex> N. pr. einer Gegend. <div n="1">— 2) <lex>m.</lex> N. pr. eines der 5 
Jmd.	4		6	0	6	3,1,25</ls>, <ls>Sch.</ls> <ls>VOP. 21,17.</ls> {%Jmd.%} (acc.) {%auf der%} <is>Vīṇā</is> {%Etwas vorspi	ls>MBH. 5,7459.</ls> <div n="p">— {#samaBi#} {%zu Jmd.%} (acc.) {%sprechen%}: {#tam — samaByaDAt#} <ls>K	v">— Vgl. {#praRava#} . <div n="p">— {#aBipra#} {%Jmd.%} (acc.) {%zutönen, zujubeln, bejubeln%} <ls>ṚV. 
Nom. act.	9		6	0	6	.">12,3.</ls> <ls n="HIT.">18,15.</ls> nach einem Nom. act.: {#strIDanaM vinA vartanAkzamaH#} <ls>DĀY. 125,6.	zIRamakzataM vA#}). <div n="1">— 2) <lex>n.</lex> Nom. act. <ls>P. 6,4,60</ls>, <ls>Sch.</ls> <ls>NAIGH. 1,12	na<h>1 1. {#ajana#}¦ <div n="1"> 1) <lex>n.</lex> Nom. act. von {#aj#} <ls>NIR. 9,24.</ls> <ls>VOP. 26,171.</
Partic.	7		6	0	6	nanna#} oder {#ananna/#} <ls>P. 6,2,161.</ls> Das Partic. praet. pass. verbindet sich mit der verneinten Fo	 verbindet sich mit der verneinten Form desselben Partic. sehr häufig zu einem Compositum, <ls>P. 2,1,60.</	 {#ja\hi yo no^ aGA\yati^#} <ls>ṚV. 1,131,7.</ls> Partic. act. {#aGAya/nt#} <ls n="ṚV.">1,91,8.</ls> <ls n=
Philos.	7		6	0	6	s> {#kazAya = kroDAdayaH#} <ls>H. an.</ls> In der Philos.: {#layavikzepaRABAve#} (<ls>ŚKDR.</ls> {#˚vikzepA	isc. Ess. II,402. fgg.</ls> <ls>WINDISCHMANN, Die Philos. im Fortg. d. Weltg. I,4,1940. fgg.</ls> <ls>RĀJA-	>Brahman</is> {%völlig eins wird%}, <ls>WIND. Die Philos. im Fortg. d. Weltg. 1442.</ls> <ls>Ind. St. 1,279
Rel.	4		6	0	6	in%} <is>Buddha</is> <ls>H. 234.</ls> <ls>KÖPPEN, Rel. des Buddha II,124.</ls> <LEND>  <L>30873<pc>3-042	. 202.</ls> <ls>BURN. Intr. 630.</ls> <ls>KÖPPEN. Rel. d. Buddha I,443.</ls> <div n="1">— 2) <lex>m.</le	. de la b. l. 781. fgg.</ls> <ls>KÖPPEN</ls>, Die Rel. d. Buddha 438. fg. <LEND>  <L>32261<pc>3-0550<k1>
S. u.	5		6	0	6	SikA#} am Ende eines <lex>adj.</lex> Compositums. S. u. 1. {#aMSa#} . <LEND>  <L>12<pc>1-0004<k1>aMSakara	ŚAT. BR. 14,6,6,1.</ls> = <ls>BṚH. ĀR. UP. 7,6,1. S. u.</ls> {#ati˚#} . <LEND>  <L>2251<pc>1-0169<k1>anat	V.">2,38,7.</ls> {#sacA#} <ls n="ṚV.">1,9,3.</ls> S. u. d. Ww. <div n="1">— 2) praep. <div n="2"> a) {%zu
Sg.	3	Y	6	0	6	 . In den Veden allein erscheinen überdies: Instr.Sg.m.n. {#enA/#}, <lex>f.</lex> {#ayA/#} (beide Forme	der späteren Sprache nur folgende Casus erhalten: Sg. Instr. {#akzRA/#}, Dat. {#akzRe/#}, Abl. Gen. {#a	us den Veden lassen sich folgende Formen belegen: Sg. Abl. Gen. {#akzRa/s#}, Loc. {#akza/n#} (auch im <
Syn.	4		6	0	6	BDAC.</ls> im <ls>ŚKDR.</ls> <div n="2">— b) (als Syn. von {%Wasserlilie%}; vgl. <ls>AK. 2,5,22</ls>) {%	 die obenstehende Form spricht aber wohl auch das Syn. {#GUkAvAsa#} . <LEND>  <L>19663<pc>2-0469<k1>kOSi	s> <ls n="HARIV.">1933.</ls> <div n="2">— f) (als Syn. von <is>Arjuna</is>) {%Terminalia Arjuna W. u. A.
Varr.	5		6	0	6	</ls> <ls n="MBH. 6,">364.</ls> <ls>VP. 190.</ls> Varr. : {#kacCa, kacCiya#}. <div n="1">— 19) zweifelh. 	 Volkes <ls>H. an.</ls> <ls>VP. 190, N. 68.</ls> (Varr.: {#kacCaiya, kakza#}). Ableitt. von compp., welch	lex> pl. N. eines Volkes <ls>VP. 190, N. 68.</ls> Varr.: {#kakza, kacCa#} . <LEND>  <L>14294<pc>2-0018<k1
adverb.	7		6	0	6	ihm regierten Worte zu einem <lex>adj.</lex> oder adverb. comp.: {#atyaNgula#} {%über eine Daumenbreite sic	dem regierten Worte zu einem <lex>adj.</lex> oder adverb. comp., s. {#aDaHkfzRAjinam, aDaspada, aDojAnu#} .	184.</ls> <ls n="YĀJÑ.">3,269.</ls> Am Ende eines adverb. comp. {#anasa/#} <is>gaṇa</is> {#SaradAdi#}, auch
cas.	4		6	0	6	usnahmsweise erscheint {#anyatra#} mit demjenigen cas. verbunden, den die Construction des Satzes erford	; in diesen compp. könnte das erste Wort auch als cas. obliquus aufgefasst werden. <LEND>  <L>12751<pc>1	owohl in näherer Beziehung zum nom., als zu einem cas. obl. im Satze, der bisweilen auch zu ergänzen ist
cass.	5		6	0	6	#} oder {#asTni/, asTno/s, asTnA/m#}, die übrigen cass. von {#asTi#}; im <is>Veda</is> vom ersten Thema ü	he ergänzen sich beide Stämme bei der Bildung der cass.: von {#ahan#} stammt der instr. dat. abl. gen. lo	, wie auch die übrigen pronomina, in den obliquen cass. nicht wie ein pron. declinirt: {#varRASrametarARA
da.	3	Y	6	0	6	ls>MED.</ls> mit der Bedeutung {#upalAdO#} allein da.</F> — Zus. aus {#akU#} und {#pAra#} {%Gränze, Ufe	s {#gopendra#} zu erklären ist keine Veranlassung da. <div n="1">— 5) N. pr. eines Fürsten <ls>LIA. II,	1">— 10) {%Majoran.%} <div n="1">— 11) {%Asa foetida.%} <div n="1">— 12) {%Galmei%} <ls>NIGH. PR. 5 — 1
defin.	6		6	0	6	AR.</ls> im <ls>ŚKDR.</ls> — Das pron. und adv. indefin. {#kiMcana#} s. u. 1. {#ka#} und u. {#kim#} . <LEN	>adj.</lex> compp. erscheint, ist {#kutas#} als indefin. aufzufassen. {#akutoBaya#} {%von keiner Seite her	rbindung mit {#api, cid#} und {#cana#} als adv. indefin. <div n="2"> a) mit {#apiH kuto 'pi kAraRAt#} {%au
