vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	228	1	71	2	16	111a		111	a	111a
I	229	1	71	17	24	111b		111	b	111b
I	230	1	71	25	25	112a		112	a	112a
I	230	1	72	1	10	112a				112a
I	231	1	72	11	19	112b		112	b	112b
I	232	1	72	20	25	113a		113	a	113a
I	232	1	73	1	4	113a				113a
I	233	1	73	5	16	113b		113	b	113b
I	234	1	73	17	26	114a		114	a	114a
I	235	1	73	27	39	114b		114	b	114b
I	236	1	73	40	40	115a		115	a	115a
I	236	1	74	1	9	115a				115a
I	237	1	74	10	20	115b		115	b	115b
I	238	1	74	21	24	116a		116	a	116a
I	238	1	75	1	8	116a				116a
I	239	1	75	9	19	116b		116	b	116b
I	240	1	75	20	27	117a		117	a	117a
I	241	1	75	28	28	117b		117	b	117b
I	241	1	76	1	7	117b				117b
I	242	1	76	8	16	118a		118	a	118a
I	243	1	76	17	24	118b		118	b	118b
I	244	1	77	1	12	119a		119	a	119a
I	245	1	77	13	23	119b		119	b	119b
I	246	1	77	24	29	120a		120	a	120a
I	247	---	---	---	---	120b		120	b	120b
I	248	---	---	---	---	---		---	---	---
I	249	---	---	---	---	---		---	---	---
I	250	---	---	---	---	---		---	---	---
I	251	---	---	---	---	---		---	---	---
I	252	2	1	1	7	1a		1	a	1a
I	253	2	1	8	15	1b		1	b	1b
I	254	2	1	16	23	2a		2	a	2a
I	255	2	1	24	31	2b		2	b	2b
I	256	2	1	32	42	3a		3	a	3a
I	257	2	1	43	51	3b		3	b	3b
I	258	2	2	1	9	4a		4	a	4a
I	259	2	2	10	17	4b		4	b	4b
I	260	2	2	18	27	5a		5	a	5a
I	261	2	2	28	38	5b		5	b	5b
I	262	2	2	39	49	6a		6	a	6a
I	263	2	2	50	55	6b		6	b	6b
I	263	2	3	1	5	6b				6b
I	264	2	3	6	17	7a		7	a	7a
I	265	2	3	18	27	7b		7	b	7b
I	266	2	3	28	39	8a		8	a	8a
I	267	2	3	40	48	8b		8	b	8b
I	268	2	3	49	49	9a		9	a	9a
I	268	2	4	1	10	9a				9a
I	269	2	4	11	20	9b		9	b	9b
I	270	2	4	21	30	10a		10	a	10a
I	271	2	4	31	42	10b		10	b	10b
I	272	2	4	43	45	11a		11	a	11a
I	272	2	5	1	9	11a				11a
I	273	2	5	10	21	11b		11	b	11b
I	274	2	5	22	26	12a		12	a	12a
I	274	2	6	1	5	12a				12a
I	275	2	6	6	18	12b		12	b	12b
I	276	2	6	19	28	13a		13	a	13a
I	277	2	7	1	4	13b		13	b	13b
I	278	2	7	5	15	14a		14	a	14a
I	279	2	7	16	24	14b		14	b	14b
I	280	2	7	25	33	15a		15	a	15a
I	281	2	7	34	36	15b		15	b	15b
I	281	2	8	1	4	15b				15b
I	282	2	8	5	12	16a		16	a	16a
I	283	2	8	13	21	16b		16	b	16b
I	284	2	8	22	29	17a		17	a	17a
I	285	2	8	30	37	17b		17	b	17b
I	286	2	8	38	39	18a		18	a	18a
I	286	2	9	1	6	18a				18a
I	287	2	9	7	18	18b		18	b	18b
I	288	2	9	19	28	19a		19	a	19a
I	289	2	9	29	37	19b		19	b	19b
I	290	2	9	38	43	20a		20	a	20a
I	291	2	9	44	54	20b		20	b	20b
I	292	2	9	55	65	21a		21	a	21a
I	293	2	9	66	66	21b		21	b	21b
I	293	2	10	1	8	21b				21b
I	294	2	10	9	19	22a		22	a	22a
I	295	2	10	20	29	22b		22	b	22b
I	296	2	10	30	39	23a		23	a	23a
I	297	2	10	40	41	23b		23	b	23b
I	297	2	11	1	7	23b				23b
I	298	2	11	8	15	24a		24	a	24a
I	299	2	11	16	27	24b		24	b	24b
I	300	2	11	28	29	25a		25	a	25a
I	300	2	12	1	5	25a				25a
I	301	2	12	6	16	25b		25	b	25b
I	302	2	12	17	26	26a		26	a	26a
I	303	2	12	27	37	26b		26	b	26b
I	304	2	12	38	45	27a		27	a	27a
I	305	2	12	46	56	27b		27	b	27b
I	306	2	12	57	64	28a		28	a	28a
I	307	2	12	65	72	28b		28	b	28b
I	308	2	12	73	82	29a		29	a	29a
