vol.	page	kanda	sarga	from v.	to v.	ipage	remark(s)
II	700	5	55	14	26	111b	
II	701	5	55	27	35	112a	
II	701	5	56	1	3	112a	
II	702	5	56	4	21	112b	
II	703	5	56	22	32	113a	
II	704	5	56	33	45	113b	
II	705	5	56	46	51	114a	
II	705	5	57	1	4	114a	
II	706	5	57	5	17	114b	
II	707	5	57	18	28	115a	
II	708	5	57	29	43	115b	
II	709	5	57	44	53	116a	
II	709	5	58	1	1	116a	
II	710	5	58	2	16	116b	
II	711	5	58	17	29	117a	
II	712	5	58	30	41	117b	
II	713	5	58	42	53	118a	
II	714	5	58	54	64	118b	
II	715	5	58	65	77	119a	
II	716	5	58	78	90	119b	
II	717	5	58	91	103	120a	
II	718	5	58	104	117	120b	
II	719	5	58	118	131	121a	
II	720	5	58	132	145	121b	
II	721	5	58	146	160	122a	
II	722	5	58	161	169	122b	
II	722	5	59	1	3	122b	
II	723	5	59	4	11	123a	
II	724	5	59	12	24	123b	
II	725	5	59	25	33	124a	
II	725	5	60	1	3	124a	
II	726	5	60	4	16	124b	
II	727	5	60	17	20	125a	
II	727	5	61	1	6	125a	
II	728	5	61	7	18	125b	
II	729	5	61	19	24	126a	
II	729	5	62	1	3	126a	
II	730	5	62	4	16	126b	
II	731	5	62	17	31	127a	
II	732	5	62	32	39	127b	
II	732	5	63	1	4	127b	
II	733	5	63	5	18	128a	
II	733x	---	---	---	---	128b	page missing
II	733y	---	---	---	---	129a	page missing
II	734	5	64	12	23	129b	
II	735	5	64	24	35	130a	
II	736	5	64	36	45	130b	
II	736	5	65	1	6	130b	
II	737	5	65	7	19	131a	
II	738	5	65	20	28	131b	
II	738	5	66	1	3	131b	
II	739	5	66	4	14	132a	
II	740	5	66	15	15	132b	
II	740	5	67	1	14	132b	
II	741	5	67	15	28	133a	
II	742	5	67	29	43	133b	
II	743	5	67	44	44	134a	
II	743	5	68	1	10	134a	
II	744	5	68	11	23	134b	
II	745	5	68	24	29	135a	
II	746	---	---	---	---	135b	
