Vol	page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page	Comments
III	221	3	9	11	1b	4a	214	
III	222	3	9	11	4b	4b	215	
III	222	3	9	12	1	3a	215	
III	223	3	9	12	3b	3b	216	
III	223	3	9	13	1	2a	216	
III	224	3	9	13	2b	3	217	
III	224	3	9	14	1	2a	217	
III	225	3	9	14	2b	4	218	
III	226	3	9	15	1	3a	219	
III	227	3	9	15	3b	3b	220	
III	227	3	9	16	1	2a	220	
III	228	3	9	16	2b	4	221	
III	229	3	9	17	1	4a	222	
III	230	3	9	17	4b	5	223	
III	230	3	9	18	1	1	223	
III	231	3	9	18	2	2	224	
III	231	3	9	19	1	2a	224	
III	232	3	9	19	2b	3	225	
III	233	3	9	20	1	2	226	
III	234	3	9	21	1	3a	227	
III	235	3	9	21	3b	3b	228	
III	235	3	9	22	1	3a	228	
III	236	3	9	22	3b	4	229	
III	236	3	9	23	1	2a	229	
III	237	3	9	23	2b	2b	230	
III	238	3	10	1	1	2a	231	
III	239	3	10	1	2b	4	232	
III	240	3	10	2	1	1	233	
III	240	3	10	3	1a	1a	233	
III	241	3	10	3	1b	1b	234	
III	241	3	10	4	1	2	234	
III	242	3	10	4	3	3	235	
III	242	3	10	5	1	1	235	
III	243	3	10	6	1	1	236	
III	243	3	10	7	1	1	236	
III	243	3	10	8	1a	1a	236	
III	244	3	10	8	1b	5a	237	
III	245	3	10	8	5b	9a	238	
III	246	3	10	8	9b	9b	239	
III	246	3	10	9	1	3a	239	
III	247	3	10	9	3b	6	240	
III	248	3	10	9	7	10	241	
III	249	3	10	9	11	14a	242	
III	250	3	10	9	14b	15	243	
III	251	3	10	10	1	3a	244	
III	252	3	10	10	3b	5	245	
III	253	3	10	11	1	3a	246	
III	254	3	10	11	3b	6a	247	
III	255	3	10	11	6b	7	248	
III	256	3	11	1	1	2a	249	
III	257	3	11	1	2b	6a	250	
III	258	3	11	1	6b	10a	251	
III	259	3	11	1	10b	13	252	
III	260	3	11	1	14	17a	253	
III	261	3	11	1	17b	21a	254	
III	262	3	11	1	21b	21b	255	
III	263	3	11	2	1	3a	256	
III	264	3	11	2	3b	4	257	
III	264	3	11	3	1a	1a	257	
III	265	3	11	3	1b	1b	258	
III	265	3	11	4	1	2	258	
III	266	3	11	5	1	3a	259	
III	267	3	11	5	3b	3b	260	
III	267	3	11	6	1	3a	260	
III	268	3	11	6	3b	4	261	
III	268	3	11	7	1	2a	261	
III	269	3	11	7	2b	4a	262	
III	270	3	11	7	4b	4b	263	
III	270	3	11	8	1	2	263	
III	271	3	11	8	3	6a	264	
III	272	3	11	8	6b	8	265	
III	273	3	11	9	1	4a	266	
III	274	3	11	9	4b	8a	267	
III	275	3	11	9	8b	9	268	
III	276	3	11	10	1	3a	269	
III	277	3	11	10	3b	4	270	
III	278	3	12	1	1	1	271	
III	278	3	12	2	1	1	271	
III	279	3	12	2	2	3a	272	
III	280	3	12	2	3b	5a	273	
III	281	3	12	2	5b	7a	274	
III	282	3	12	2	7b	8a	275	
III	283	3	12	2	8b	9	276	
III	283	3	12	3	1	1	276	
III	284	3	12	3	2	4a	277	
III	285	3	12	3	4b	4b	278	
III	285	3	12	4	1	2a	278	
III	286	3	12	4	2b	4a	279	
III	287	3	12	4	4b	6a	280	
III	288	3	12	4	6b	7	281	
III	289	3	12	5	1	3a	282	
III	290	3	12	5	3b	7a	283	
III	291	3	12	5	7b	10	284	
III	292	3	12	5	11	12	285	
III	293	3	12	6	1	5a	286	
III	294	3	12	6	5b	6	287	
III	294	3	12	7	1a	1a	287	
III	295	3	12	7	1b	5a	288	
III	296	3	12	7	5b	5b	289	
III	296	3	12	8	1	3a	289	
III	297	3	12	8	3b	3b	290	
III	297	3	12	9	1	2a	290	
III	298	3	12	9	2b	5a	291	
III	299	3	12	9	5b	8a	292	
III	300	3	12	9	8b	8b	293	
III	301-875	==	==	==	==	==	==	Commentary
III	876-977	==	==	==	==	==	==	Tables of contents (Sanskrit)
III	978-1052	==	==	==	==	==	==	Tables of contents (English)
